,Player,Caps,Goals,Country,overall,nationality
0,Essam El Hadary,158,0,Egypt,70,Egypt
1,Ali Gabr,21,1,Egypt,67,Egypt
2,Ahmed Elmohamady,78,2,Egypt,72,Egypt
3,Omar Gaber,24,0,Egypt,69,Egypt
4,Sam Morsy,5,0,Egypt,68,Egypt
5,Ahmed Hegazy,45,1,Egypt,,
6,Ahmed Fathi,126,3,Egypt,,
7,Tarek Hamed,21,0,Egypt,66,Egypt
8,Marwan Mohsen,24,4,Egypt,65,Egypt
9,Mohamed Salah,57,33,Egypt,83,Egypt
10,Mahmoud Abdel Moneim,19,3,Egypt,,
11,Ayman Ashraf,4,0,Egypt,,
12,Mohamed Abdul Shafy,51,1,Egypt,,
13,Ramadan Sobhi,23,1,Egypt,74,Egypt
14,Mahmoud Hamdy,0,0,Egypt,,
15,Sherif Ekramy,22,0,Egypt,69,Egypt
16,Mohamed Elneny,61,5,Egypt,77,Egypt
17,Shikabala,29,2,Egypt,,
18,Abdallah El-Said,36,6,Egypt,,
19,Samir Saad,11,0,Egypt,,
20,Trezeguet,24,2,Egypt,,
21,Amr Warda,16,0,Egypt,71,Egypt
22,Ahmed El-Shenawy,3,0,Egypt,,
23,Igor Akinfeev,106,0,Russia,79,Russia
24,Mário Figueira Fernandes,5,0,Russia,,
25,Ilya Kutepov,7,0,Russia,73,Russia
26,Sergey Ignashevich,122,8,Russia,,
27,Andrei Sergeyevich Semyonov,6,0,Russia,,
28,Denis Cheryshev,11,0,Russia,78,Russia
29,Daler Kuzyaev,6,0,Russia,,
30,Yuriy Gazinskiy,6,0,Russia,,
31,Alan Dzagoev,57,9,Russia,80,Russia
32,Fedor Smolov,32,12,Russia,,
33,Roman Zobnin,12,0,Russia,77,Russia
34,Andrey Lunev,3,0,Russia,,
35,Fedor Kudryashov,19,0,Russia,,
36,Vladimir Granat,12,1,Russia,72,Russia
37,Alexey Miranchuk,18,4,Russia,,
38,Anton Miranchuk,6,0,Russia,68,Russia
39,Alexandr Golovin,19,2,Russia,,
40,Yuriy Zhirkov,84,2,Russia,,
41,Alexandr Samedov,48,7,Russia,,
42,Vladimir Gabulov,10,0,Russia,74,Russia
43,Aleksandr Yerokhin,17,0,Russia,,
44,Artem Dzyuba,23,11,Russia,78,Russia
45,Igor Smolnikov,27,0,Russia,79,Russia
46,Abdullah Al Mayoof,11,0,Saudi Arabia,,
47,Mansour Al Harbi,40,1,Saudi Arabia,,
48,Osama Hawsawi,135,7,Saudi Arabia,75,Saudi Arabia
49,Ali Al Bulayhi,4,0,Saudi Arabia,,
50,Omar Ibrahim Hawsawi,42,3,Saudi Arabia,,
51,Mohammed Al Buraik,11,1,Saudi Arabia,,
52,Salman Al Faraj,43,3,Saudi Arabia,,
53,Yahya Al Musallam,57,8,Saudi Arabia,,
54,Hattan Bahebri,5,0,Saudi Arabia,66,Saudi Arabia
55,Mohammed Al Sahlawi,40,28,Saudi Arabia,,
56,Abdulmalek Al Khaibari,36,0,Saudi Arabia,,
57,Mohamed Kanno,6,1,Saudi Arabia,67,Saudi Arabia
58,Yasser Al Shahrani,37,0,Saudi Arabia,,
59,Abdullah Al Owayshir,16,1,Saudi Arabia,,
60,Abdullah Al Zahrani,5,0,Saudi Arabia,,
61,Hussain Al Moqahwi,18,1,Saudi Arabia,,
62,Taiseer Al Jassam,132,19,Saudi Arabia,,
63,Salem Al Dawsari,33,4,Saudi Arabia,,
64,Fahad Al Muwallad,45,10,Saudi Arabia,,
65,Muhannad Assiri,18,4,Saudi Arabia,,
66,Yasser Al Mosailem,32,0,Saudi Arabia,,
67,Mohammed Al Saeed,6,0,Saudi Arabia,,
68,Motaz Hawsawi,17,0,Saudi Arabia,74,Saudi Arabia
69,Fernando Muslera,97,0,Uruguay,82,Uruguay
70,Jose Gimenez,42,5,Uruguay,,
71,Diego Godín,116,8,Uruguay,,
72,Guillermo Varela,3,0,Uruguay,,
73,Carlos Andres Sanchez,36,1,Uruguay,,
74,Rodrigo Bentancur,7,0,Uruguay,70,Uruguay
75,Cristian Rodriguez,105,11,Uruguay,,
76,Nahitan Nandez,12,0,Uruguay,,
77,Luis Suarez,98,51,Uruguay,,
78,Giorgian De Arrascaeta,14,2,Uruguay,,
79,Cristhian Stuani,41,5,Uruguay,77,Uruguay
80,Martin Campana,1,0,Uruguay,,
81,Gaston Silva,17,0,Uruguay,,
82,Lucas Torreira,3,0,Uruguay,76,Uruguay
83,Matias Vecino,22,1,Uruguay,78,Uruguay
84,Maxi Pereira,125,3,Uruguay,,
85,Diego Laxalt,6,0,Uruguay,78,Uruguay
86,Maxi Gomez,5,0,Uruguay,,
87,Sebastian Coates,30,1,Uruguay,,
88,Jonathan Urretaviscaya,4,0,Uruguay,74,Uruguay
89,Edinson Cavani,101,42,Uruguay,87,Uruguay
90,Martin Caceres,76,4,Uruguay,,
91,Martin Silva,11,0,Uruguay,,
92,Alireza Beiranvand,22,0,Iran,,
93,Mehdi Torabi,17,4,Iran,,
94,Ehsan Hajsafi,94,6,Iran,,
95,Rouzbeh Cheshmi,10,1,Iran,,
96,Milad Mohammadi,19,0,Iran,,
97,Saeid Ezatolahi,25,1,Iran,,
98,Masoud Shojaei,74,8,Iran,,
99,Morteza Pouraliganji,27,2,Iran,,
100,Omid Ebrahimi,30,0,Iran,,
101,Karim Ansarifard,64,17,Iran,,
102,Vahid Amiri,36,1,Iran,,
103,Mohammad Rashid Mazaheri,3,0,Iran,,
104,Mohammad Reza Khanzadeh,11,1,Iran,,
105,Saman Ghoddos,8,1,Iran,72,Sweden
106,Pejman Montazeri,46,1,Iran,,
107,Reza Ghoochannejhad,43,17,Iran,,
108,Mehdi Taremi,26,11,Iran,,
109,Alireza Jahanbakhsh,38,4,Iran,,
