No., Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
1,GK,Essam El Hadary,(1973-01-15)15 January 1973 (aged 45),158,0,Al-Taawoun,Egypt
2,DF,Ali Gabr,(1989-01-01)1 January 1989 (aged 29),21,1,West Bromwich Albion,Egypt
3,DF,Ahmed Elmohamady,(1987-09-09)9 September 1987 (aged 30),78,2,Aston Villa,Egypt
4,MF,Omar Gaber,(1992-01-30)30 January 1992 (aged 26),24,0,Los Angeles FC,Egypt
5,MF,Sam Morsy,(1991-09-10)10 September 1991 (aged 26),5,0,Wigan Athletic,Egypt
6,DF,Ahmed Hegazi,(1991-01-25)25 January 1991 (aged 27),45,1,West Bromwich Albion,Egypt
7,DF,Ahmed Fathy,(1984-11-10)10 November 1984 (aged 33),126,3,Al Ahly,Egypt
8,MF,Tarek Hamed,(1988-10-24)24 October 1988 (aged 29),21,0,Zamalek,Egypt
9,FW,Marwan Mohsen,(1989-02-26)26 February 1989 (aged 29),24,4,Al Ahly,Egypt
10,FW,Mohamed Salah,(1992-06-15)15 June 1992 (aged 25),57,33,Liverpool,Egypt
11,FW,Kahraba,(1994-04-13)13 April 1994 (aged 24),19,3,Al-Ittihad,Egypt
12,DF,Ayman Ashraf,(1991-04-09)9 April 1991 (aged 27),4,0,Al Ahly,Egypt
13,DF,Mohamed Abdel-Shafy,(1985-07-01)1 July 1985 (aged 32),51,1,Al-Fateh,Egypt
14,FW,Ramadan Sobhi,(1997-01-23)23 January 1997 (aged 21),23,1,Stoke City,Egypt
15,DF,Mahmoud Hamdy,(1995-06-01)1 June 1995 (aged 23),0,0,Zamalek,Egypt
16,GK,Sherif Ekramy,(1983-07-10)10 July 1983 (aged 34),22,0,Al Ahly,Egypt
17,MF,Mohamed Elneny,(1992-07-11)11 July 1992 (aged 25),61,5,Arsenal,Egypt
18,FW,Shikabala,(1986-03-05)5 March 1986 (aged 32),29,2,Al-Raed,Egypt
19,MF,Abdallah Said,(1985-07-13)13 July 1985 (aged 32),36,6,KuPS,Egypt
20,DF,Saad Samir,(1989-04-01)1 April 1989 (aged 29),11,0,Al Ahly,Egypt
21,MF,Trezeguet,(1994-10-01)1 October 1994 (aged 23),24,2,KasImpasa,Egypt
22,FW,Amr Warda,(1993-09-17)17 September 1993 (aged 24),16,0,Atromitos,Egypt
23,GK,Mohamed El-Shenawy,(1988-12-18)18 December 1988 (aged 29),3,0,Al Ahly,Egypt
1,GK,Igor Akinfeev,(1986-04-08)8 April 1986 (aged 32),106,0,CSKA Moscow,Russia
2,DF,Mario Fernandes,(1990-09-19)19 September 1990 (aged 27),5,0,CSKA Moscow,Russia
3,DF,Ilya Kutepov,(1993-07-29)29 July 1993 (aged 24),7,0,Spartak Moscow,Russia
4,DF,Sergei Ignashevich,(1979-07-14)14 July 1979 (aged 38),122,8,CSKA Moscow,Russia
5,DF,Andrei Sergeyevich Semyonov,(1989-03-24)24 March 1989 (aged 29),6,0,Akhmat Grozny,Russia
6,MF,Denis Cheryshev,(1990-12-26)26 December 1990 (aged 27),11,0,Villarreal,Russia
7,MF,Daler Kuzyayev,(1993-01-15)15 January 1993 (aged 25),6,0,Zenit Saint Petersburg,Russia
8,MF,Yury Gazinsky,(1989-07-20)20 July 1989 (aged 28),6,0,Krasnodar,Russia
9,MF,Alan Dzagoev,(1990-06-17)17 June 1990 (aged 27),57,9,CSKA Moscow,Russia
10,FW,Fyodor Smolov,(1990-02-09)9 February 1990 (aged 28),32,12,Krasnodar,Russia
11,MF,Roman Zobnin,(1994-02-11)11 February 1994 (aged 24),12,0,Spartak Moscow,Russia
12,GK,Andrey Lunyov,(1991-11-13)13 November 1991 (aged 26),3,0,Zenit Saint Petersburg,Russia
13,DF,Fyodor Kudryashov,(1987-04-05)5 April 1987 (aged 31),19,0,Rubin Kazan,Russia
14,DF,Vladimir Granat,(1987-05-22)22 May 1987 (aged 31),12,1,Rubin Kazan,Russia
15,MF,Aleksei Miranchuk,(1995-10-17)17 October 1995 (aged 22),18,4,Lokomotiv Moscow,Russia
16,MF,Anton Miranchuk,(1995-10-17)17 October 1995 (aged 22),6,0,Lokomotiv Moscow,Russia
17,MF,Aleksandr Golovin,(1996-05-30)30 May 1996 (aged 22),19,2,CSKA Moscow,Russia
18,MF,Yuri Zhirkov,(1983-08-20)20 August 1983 (aged 34),84,2,Zenit Saint Petersburg,Russia
19,MF,Aleksandr Samedov,(1984-07-19)19 July 1984 (aged 33),48,7,Spartak Moscow,Russia
20,GK,Vladimir Gabulov,(1983-10-19)19 October 1983 (aged 34),10,0,Club Brugge,Russia
21,MF,Aleksandr Yerokhin,(1989-10-13)13 October 1989 (aged 28),17,0,Zenit Saint Petersburg,Russia
22,FW,Artem Dzyuba,(1988-08-22)22 August 1988 (aged 29),23,11,Arsenal Tula,Russia
23,DF,Igor Smolnikov,(1988-08-08)8 August 1988 (aged 29),27,0,Zenit Saint Petersburg,Russia
1,GK,Abdullah Al-Mayouf,(1987-01-23)23 January 1987 (aged 31),11,0,Al-Hilal,Saudi Arabia
2,DF,Mansoor Al-Harbi,(1987-10-19)19 October 1987 (aged 30),40,1,Al-Ahli,Saudi Arabia
3,DF,Osama Hawsawi,(1984-03-31)31 March 1984 (aged 34),135,7,Al-Hilal,Saudi Arabia
4,DF,Ali Al-Bulaihi,(1989-11-21)21 November 1989 (aged 28),4,0,Al-Hilal,Saudi Arabia
5,DF,Omar Hawsawi,(1985-09-27)27 September 1985 (aged 32),42,3,Al-Nassr,Saudi Arabia
6,DF,Mohammed Al-Breik,(1992-09-15)15 September 1992 (aged 25),11,1,Al-Hilal,Saudi Arabia
7,MF,Salman Al-Faraj,(1989-08-01)1 August 1989 (aged 28),43,3,Al-Hilal,Saudi Arabia
8,MF,Yahya Al-Shehri,(1990-06-26)26 June 1990 (aged 27),57,8,Leganes,Saudi Arabia
9,MF,Hattan Bahebri,(1992-07-16)16 July 1992 (aged 25),5,0,Al-Shabab,Saudi Arabia
10,FW,Mohammad Al-Sahlawi,(1987-01-10)10 January 1987 (aged 31),40,28,Al-Nassr,Saudi Arabia
11,MF,Abdulmalek Al-Khaibri,(1986-03-13)13 March 1986 (aged 32),36,0,Al-Hilal,Saudi Arabia
12,MF,Mohamed Kanno,(1994-09-22)22 September 1994 (aged 23),6,1,Al-Hilal,Saudi Arabia
13,DF,Yasser Al-Shahrani,(1992-05-25)25 May 1992 (aged 26),37,0,Al-Hilal,Saudi Arabia
14,MF,Abdullah Otayf,(1992-08-03)3 August 1992 (aged 25),16,1,Al-Hilal,Saudi Arabia
15,MF,Abdullah Al-Khaibari,(1996-08-16)16 August 1996 (aged 21),5,0,Al-Shabab,Saudi Arabia
16,MF,Housain Al-Mogahwi,(1988-03-24)24 March 1988 (aged 30),18,1,Al-Ahli,Saudi Arabia
17,MF,Taisir Al-Jassim,(1984-07-25)25 July 1984 (aged 33),132,19,Al-Ahli,Saudi Arabia
18,MF,Salem Al-Dawsari,(1991-08-19)19 August 1991 (aged 26),33,4,Villarreal,Saudi Arabia
19,FW,Fahad Al-Muwallad,(1994-09-14)14 September 1994 (aged 23),45,10,Levante,Saudi Arabia
20,FW,Muhannad Assiri,(1986-10-14)14 October 1986 (aged 31),18,4,Al-Ahli,Saudi Arabia
21,GK,Yasser Al-Mosailem,(1984-02-27)27 February 1984 (aged 34),32,0,Al-Ahli,Saudi Arabia
22,GK,Mohammed Al-Owais,(1991-10-10)10 October 1991 (aged 26),6,0,Al-Ahli,Saudi Arabia
23,DF,Motaz Hawsawi,(1992-02-17)17 February 1992 (aged 26),17,0,Al-Ahli,Saudi Arabia
1,GK,Fernando Muslera,(1986-06-16)16 June 1986 (aged 31),97,0,Galatasaray,Uruguay
2,DF,Jose Gimenez,(1995-01-20)20 January 1995 (aged 23),42,5,Atletico Madrid,Uruguay
3,DF,Diego Godin,(1986-02-16)16 February 1986 (aged 32),116,8,Atletico Madrid,Uruguay
4,DF,Guillermo Varela,(1993-03-24)24 March 1993 (aged 25),3,0,Penarol,Uruguay
5,MF,Carlos Andres Sanchez,(1984-12-02)2 December 1984 (aged 33),36,1,Monterrey,Uruguay
6,MF,Rodrigo Bentancur,(1997-06-25)25 June 1997 (aged 20),7,0,Juventus,Uruguay
7,MF,Cristian Rodriguez,(1985-09-30)30 September 1985 (aged 32),105,11,Penarol,Uruguay
8,MF,Nahitan Nandez,(1995-12-28)28 December 1995 (aged 22),12,0,Boca Juniors,Uruguay
9,FW,Luis Suarez,(1987-01-24)24 January 1987 (aged 31),98,51,Barcelona,Uruguay
10,FW,Giorgian De Arrascaeta,(1994-06-01)1 June 1994 (aged 24),14,2,Cruzeiro,Uruguay
11,FW,Cristhian Stuani,(1986-10-12)12 October 1986 (aged 31),41,5,Girona,Uruguay
12,GK,Martin Campana,(1989-05-29)29 May 1989 (aged 29),1,0,Independiente,Uruguay
13,DF,Gaston Silva,(1994-03-05)5 March 1994 (aged 24),17,0,Independiente,Uruguay
14,MF,Lucas Torreira,(1996-02-11)11 February 1996 (aged 22),3,0,Sampdoria,Uruguay
15,MF,Matias Vecino,(1991-08-24)24 August 1991 (aged 26),22,1,Inter Milan,Uruguay
16,DF,Maxi Pereira,(1984-06-08)8 June 1984 (aged 34),125,3,Porto,Uruguay
17,MF,Diego Laxalt,(1993-02-07)7 February 1993 (aged 25),6,0,Genoa,Uruguay
18,FW,Maxi Gomez,(1996-08-14)14 August 1996 (aged 21),5,0,Celta Vigo,Uruguay
19,DF,Sebastian Coates,(1990-10-07)7 October 1990 (aged 27),30,1,Sporting CP,Uruguay
20,FW,Jonathan Urretaviscaya,(1990-03-19)19 March 1990 (aged 28),4,0,Monterrey,Uruguay
21,FW,Edinson Cavani,(1987-02-14)14 February 1987 (aged 31),101,42,Paris Saint-Germain,Uruguay
22,DF,Martin Caceres,(1987-04-07)7 April 1987 (aged 31),76,4,Lazio,Uruguay
23,GK,Martin Silva,(1983-03-25)25 March 1983 (aged 35),11,0,Vasco da Gama,Uruguay
1,GK,Alireza Beiranvand,(1992-09-21)21 September 1992 (aged 25),22,0,Persepolis,Iran
2,MF,Mehdi Torabi,(1994-09-10)10 September 1994 (aged 23),17,4,Saipa,Iran
3,DF,Ehsan Hajsafi,(1990-02-25)25 February 1990 (aged 28),94,6,Olympiacos,Iran
4,DF,Rouzbeh Cheshmi,(1993-07-24)24 July 1993 (aged 24),10,1,Esteghlal,Iran
5,DF,Milad Mohammadi,(1993-09-29)29 September 1993 (aged 24),19,0,Akhmat Grozny,Iran
6,MF,Saeid Ezatolahi,(1996-10-01)1 October 1996 (aged 21),25,1,Amkar Perm,Iran
7,MF,Masoud Shojaei,(1984-06-09)9 June 1984 (aged 34),74,8,AEK Athens,Iran
8,DF,Morteza Pouraliganji,(1992-04-19)19 April 1992 (aged 26),27,2,Al-Sadd,Iran
9,MF,Omid Ebrahimi,(1987-09-16)16 September 1987 (aged 30),30,0,Esteghlal,Iran
10,FW,Karim Ansarifard,(1990-04-03)3 April 1990 (aged 28),64,17,Olympiacos,Iran
11,MF,Vahid Amiri,(1988-04-02)2 April 1988 (aged 30),36,1,Persepolis,Iran
12,GK,Mohammad Rashid Mazaheri,(1989-05-18)18 May 1989 (aged 29),3,0,Zob Ahan,Iran
13,DF,Mohammad Reza Khanzadeh,(1991-05-11)11 May 1991 (aged 27),11,1,Padideh,Iran
14,FW,Saman Ghoddos,(1993-09-06)6 September 1993 (aged 24),8,1,Ostersund,Iran
15,DF,Pejman Montazeri,(1983-09-06)6 September 1983 (aged 34),46,1,Esteghlal,Iran
16,FW,Reza Ghoochannejhad,(1987-09-20)20 September 1987 (aged 30),43,17,Heerenveen,Iran
17,FW,Mehdi Taremi,(1992-07-18)18 July 1992 (aged 25),26,11,Al-Gharafa,Iran
18,FW,Alireza Jahanbakhsh,(1993-08-11)11 August 1993 (aged 24),38,4,AZ,Iran
19,DF,Majid Hosseini,(1996-06-20)20 June 1996 (aged 21),1,0,Esteghlal,Iran
20,FW,Sardar Azmoun,(1995-01-01)1 January 1995 (aged 23),33,23,Rubin Kazan,Iran
21,FW,Ashkan Dejagah,(1986-07-05)5 July 1986 (aged 31),46,9,Nottingham Forest,Iran
22,GK,Amir Abedzadeh,(1993-04-26)26 April 1993 (aged 25),1,0,Maritimo,Iran
23,DF,Ramin Rezaeian,(1990-03-21)21 March 1990 (aged 28),28,2,Oostende,Iran
1,GK,Yassine Bounou,(1991-04-05)5 April 1991 (aged 27),11,0,Girona,Morocco
2,DF,Achraf Hakimi,(1998-11-04)4 November 1998 (aged 19),10,1,Real Madrid,Morocco
3,DF,Hamza Mendyl,(1997-10-21)21 October 1997 (aged 20),13,0,Lille,Morocco
4,DF,Manuel da Costa,(1986-05-06)6 May 1986 (aged 32),28,1,Istanbul Basaksehir,Morocco
5,DF,Medhi Benatia,(1987-04-17)17 April 1987 (aged 31),57,2,Juventus,Morocco
6,DF,Romain Saiss,(1990-03-26)26 March 1990 (aged 28),24,1,Wolverhampton Wanderers,Morocco
7,MF,Hakim Ziyech,(1993-03-19)19 March 1993 (aged 25),18,9,Ajax,Morocco
8,MF,Karim El Ahmadi,(1985-01-27)27 January 1985 (aged 33),51,1,Feyenoord,Morocco
