,home_team,away_team,winning_team,Unnamed: 0_x,home_ranking,Unnamed: 0_y,away_ranking
0,England,Scotland,England,12.0,13.0,41.0,42.0
1,England,Scotland,Draw,12.0,13.0,41.0,42.0
2,England,Scotland,Scotland,12.0,13.0,41.0,42.0
3,England,Wales,England,12.0,13.0,17.0,18.0
4,England,Scotland,England,12.0,13.0,41.0,42.0
5,England,Wales,Wales,12.0,13.0,17.0,18.0
6,England,Scotland,Scotland,12.0,13.0,41.0,42.0
7,England,Wales,England,12.0,13.0,17.0,18.0
8,England,Northern Ireland,England,12.0,13.0,28.0,29.0
9,England,Scotland,Scotland,12.0,13.0,41.0,42.0
10,England,Northern Ireland,England,12.0,13.0,28.0,29.0
11,England,Wales,Draw,12.0,13.0,17.0,18.0
12,England,Scotland,Draw,12.0,13.0,41.0,42.0
13,England,Northern Ireland,England,12.0,13.0,28.0,29.0
14,England,Wales,England,12.0,13.0,17.0,18.0
15,England,Scotland,Scotland,12.0,13.0,41.0,42.0
16,England,Wales,England,12.0,13.0,17.0,18.0
17,England,Wales,England,12.0,13.0,17.0,18.0
18,England,Northern Ireland,England,12.0,13.0,28.0,29.0
19,England,Scotland,Scotland,12.0,13.0,41.0,42.0
20,England,Wales,England,12.0,13.0,17.0,18.0
21,England,Northern Ireland,England,12.0,13.0,28.0,29.0
22,England,Northern Ireland,England,12.0,13.0,28.0,29.0
23,England,Wales,England,12.0,13.0,17.0,18.0
24,England,Scotland,England,12.0,13.0,41.0,42.0
25,England,Northern Ireland,England,12.0,13.0,28.0,29.0
26,England,Wales,Draw,12.0,13.0,17.0,18.0
27,England,Scotland,England,12.0,13.0,41.0,42.0
28,England,Northern Ireland,England,12.0,13.0,28.0,29.0
29,England,Wales,England,12.0,13.0,17.0,18.0
30,England,Scotland,Scotland,12.0,13.0,41.0,42.0
31,England,Northern Ireland,England,12.0,13.0,28.0,29.0
32,England,Wales,England,12.0,13.0,17.0,18.0
33,England,Scotland,England,12.0,13.0,41.0,42.0
34,England,Northern Ireland,England,12.0,13.0,28.0,29.0
35,England,Wales,England,12.0,13.0,17.0,18.0
36,England,Scotland,Draw,12.0,13.0,41.0,42.0
37,England,Scotland,Draw,12.0,13.0,41.0,42.0
38,Uruguay,Argentina,Argentina,13.0,14.0,4.0,5.0
39,England,Wales,England,12.0,13.0,17.0,18.0
40,England,Scotland,Scotland,12.0,13.0,41.0,42.0
41,Argentina,Uruguay,Uruguay,4.0,5.0,13.0,14.0
42,Belgium,France,Draw,2.0,3.0,6.0,7.0
43,France,Switzerland,France,6.0,7.0,5.0,6.0
44,England,Northern Ireland,Draw,12.0,13.0,28.0,29.0
45,England,Wales,England,12.0,13.0,17.0,18.0
46,England,Scotland,England,12.0,13.0,41.0,42.0
47,Belgium,Netherlands,Netherlands,2.0,3.0,16.0,17.0
48,Belgium,France,Belgium,2.0,3.0,6.0,7.0
49,Argentina,Uruguay,Draw,4.0,5.0,13.0,14.0
50,France,Belgium,Belgium,6.0,7.0,2.0,3.0
51,Belgium,Netherlands,Belgium,2.0,3.0,16.0,17.0
52,Uruguay,Argentina,Argentina,13.0,14.0,4.0,5.0
53,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
54,England,Northern Ireland,England,12.0,13.0,28.0,29.0
55,England,Wales,Draw,12.0,13.0,17.0,18.0
56,England,Scotland,Draw,12.0,13.0,41.0,42.0
57,Belgium,Netherlands,Netherlands,2.0,3.0,16.0,17.0
58,Belgium,France,France,2.0,3.0,6.0,7.0
59,Switzerland,France,France,5.0,6.0,6.0,7.0
60,Belgium,Netherlands,Netherlands,2.0,3.0,16.0,17.0
61,Switzerland,Germany,Switzerland,5.0,6.0,0.0,1.0
62,France,Belgium,Belgium,6.0,7.0,2.0,3.0
63,Sweden,Norway,Sweden,23.0,24.0,52.0,53.0
64,Uruguay,Argentina,Draw,13.0,14.0,4.0,5.0
65,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
66,Argentina,Uruguay,Uruguay,4.0,5.0,13.0,14.0
67,Belgium,Sweden,Belgium,2.0,3.0,23.0,24.0
